edge_type,source_id,target_id,storage_mode,case_id,cluster_id
OCCURRED_IN,00224af7-df57-56dc-9c77-e4554f3a05f2,a2c44b1c-03cb-5f29-987e-22a94254abe1,Stored,,
CASE_HAS_COURT,00224af7-df57-56dc-9c77-e4554f3a05f2,d3f03120-6b23-5ab7-a063-39a1a9578755,Stored,,
CASE_HAS_CRIME_HEAD,00224af7-df57-56dc-9c77-e4554f3a05f2,6cade132-76e0-5b31-9cb3-921243fec32d,Stored,,
CASE_HAS_CRIME_SUB_HEAD,00224af7-df57-56dc-9c77-e4554f3a05f2,2472a31c-087c-56f0-85dd-379651333ca0,Stored,,
CHARGED_UNDER,00224af7-df57-56dc-9c77-e4554f3a05f2,8298a554-4a62-5815-8250-0ca35105e68b,Stored,,
CHARGED_UNDER,00224af7-df57-56dc-9c77-e4554f3a05f2,4ab7aa96-cf33-5b15-8b7a-e8081bb53821,Stored,,
OCCURRED_IN,20e80c90-6bcf-58af-bbc9-9a23f6f62777,fe75274c-cbc3-5140-b55d-aae99eb7ceb7,Stored,,
CASE_HAS_COURT,20e80c90-6bcf-58af-bbc9-9a23f6f62777,ce798d3c-a4f0-56f7-ac5b-3f118c2d1013,Stored,,
CASE_HAS_CRIME_HEAD,20e80c90-6bcf-58af-bbc9-9a23f6f62777,0a5b2b55-99e2-59c9-b19b-b27d17f63205,Stored,,
CASE_HAS_CRIME_SUB_HEAD,20e80c90-6bcf-58af-bbc9-9a23f6f62777,6236a089-3db9-51ca-9249-f5c77aa9ff84,Stored,,
CHARGED_UNDER,20e80c90-6bcf-58af-bbc9-9a23f6f62777,eb140b48-d826-5f38-ac67-01fa056b1b62,Stored,,
OCCURRED_IN,2628be64-6cf0-5304-81f7-071b1d689be3,88a5e3e1-acfa-5b94-be4f-ed59bae5ac74,Stored,,
CASE_HAS_COURT,2628be64-6cf0-5304-81f7-071b1d689be3,5af7b21f-cd06-5d0c-86a0-5cc3ca8db0a9,Stored,,
CASE_HAS_CRIME_HEAD,2628be64-6cf0-5304-81f7-071b1d689be3,d8ed8b03-b02c-564b-a5cd-d2e71acf4a89,Stored,,
CASE_HAS_CRIME_SUB_HEAD,2628be64-6cf0-5304-81f7-071b1d689be3,1f152273-559e-5266-ac9a-cd79028146b6,Stored,,
CHARGED_UNDER,2628be64-6cf0-5304-81f7-071b1d689be3,7a1a6d6b-92b7-55ec-b9b8-f34a5e8e42ed,Stored,,
OCCURRED_IN,91e82fa3-11e1-5769-bcf8-18e8e5251a33,7b2c91df-2f41-5972-8473-340f80bacdd5,Stored,,
